Gene stable ID,Gene stable ID version,Transcript stable ID,Transcript stable ID version,CCDS ID
ENSG00000134152,ENSG00000134152.11,ENST00000256544,ENST00000256544.8,CCDS10034
ENSG00000166069,ENSG00000166069.14,ENST00000319669,ENST00000319669.5,CCDS10046
ENSG00000137824,ENSG00000137824.16,ENST00000260385,ENST00000260385.10,CCDS10063
ENSG00000137824,ENSG00000137824.16,ENST00000338376,ENST00000338376.8,CCDS10063
ENSG00000159459,ENSG00000159459.12,ENST00000290650,ENST00000290650.9,CCDS10091
ENSG00000185880,ENSG00000185880.13,ENST00000338264,ENST00000338264.8,CCDS10114
ENSG00000171766,ENSG00000171766.17,ENST00000396659,ENST00000396659.8,CCDS10122
ENSG00000074803,ENSG00000074803.20,ENST00000647546,ENST00000647546.1,CCDS10129
ENSG00000074803,ENSG00000074803.20,ENST00000380993,ENST00000380993.8,CCDS10129
ENSG00000104047,ENSG00000104047.15,ENST00000403028,ENST00000403028.8,CCDS10132
ENSG00000104047,ENSG00000104047.15,ENST00000558653,ENST00000558653.5,CCDS10132
ENSG00000104047,ENSG00000104047.15,ENST00000251250,ENST00000251250.7,CCDS10132
ENSG00000075131,ENSG00000075131.10,ENST00000261881,ENST00000261881.9,CCDS10215
ENSG00000137819,ENSG00000137819.14,ENST00000395407,ENST00000395407.7,CCDS10232
ENSG00000137819,ENSG00000137819.14,ENST00000561153,ENST00000561153.5,CCDS10232
ENSG00000137819,ENSG00000137819.14,ENST00000340965,ENST00000340965.4,CCDS10232
ENSG00000137817,ENSG00000137817.17,ENST00000569795,ENST00000569795.6,CCDS10241
ENSG00000137817,ENSG00000137817.17,ENST00000287196,ENST00000287196.13,CCDS10241
ENSG00000273025,ENSG00000273025.1,ENST00000569547,ENST00000569547.1,CCDS10242
ENSG00000140488,ENSG00000140488.16,ENST00000287202,ENST00000287202.10,CCDS10242
ENSG00000169612,ENSG00000169612.4,ENST00000304191,ENST00000304191.4,CCDS10321
ENSG00000140600,ENSG00000140600.17,ENST00000427482,ENST00000427482.7,CCDS10325
ENSG00000140511,ENSG00000140511.12,ENST00000359595,ENST00000359595.8,CCDS10346
ENSG00000163221,ENSG00000163221.9,ENST00000368737,ENST00000368737.5,CCDS1037
ENSG00000182685,ENSG00000182685.8,ENST00000328540,ENST00000328540.8,CCDS10463
ENSG00000184697,ENSG00000184697.7,ENST00000328796,ENST00000328796.5,CCDS10488
ENSG00000184697,ENSG00000184697.7,ENST00000396925,ENST00000396925.1,CCDS10488
ENSG00000103423,ENSG00000103423.14,ENST00000262375,ENST00000262375.11,CCDS10515
ENSG00000166669,ENSG00000166669.13,ENST00000396560,ENST00000396560.6,CCDS10540
ENSG00000166669,ENSG00000166669.13,ENST00000356427,ENST00000356427.2,CCDS10540
ENSG00000175643,ENSG00000175643.10,ENST00000312499,ENST00000312499.6,CCDS10548
